,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
0,Terrence Young,Terrence8026,307,895,852,67,0.357,0.874,1546,102,85,3.75,1.17,94,,1,21590,D4 - Mike Mussina,124701,82.0,78.0,77.0,30.0,73.5,76.0,81.0,78.0,80.0,68.5,74.5,74.0,3053.5,1.0
1,HearTheBeard,hearthebeard,300,831,840,60,0.354,0.853,1130,98,79,3.48,1.14,54,,2,21590,D4 - Mike Mussina,124722,81.0,57.0,73.0,19.0,69.5,66.5,32.0,75.5,77.5,82.0,79.0,12.0,2536.5,14.0
2,Let The Mookie Win,Tcryden,246,837,797,105,0.351,0.835,1321,66,79,4.06,1.2,74,,3,21590,D4 - Mike Mussina,124708,48.0,62.0,60.0,74.0,62.5,43.0,58.0,39.0,77.5,42.0,64.0,40.0,2343.5,18.0
3,The Mensches,MasonO,276,761,739,76,0.338,0.842,1088,78,48,3.77,1.22,62,,4,21590,D4 - Mike Mussina,124794,67.0,36.0,40.0,43.5,19.0,55.5,23.0,56.0,51.0,65.0,53.5,25.0,1884.5,37.0
4,Bowie Baysox,M5rich5,201,688,634,90,0.349,0.836,1352,19,1,3.68,1.15,113,,5,21590,D4 - Mike Mussina,124700,16.5,20.0,10.5,63.0,53.5,44.0,63.0,9.0,3.5,71.5,77.0,83.0,1909.0,35.0
5,Norwood Newt,nrwdnewt,222,777,751,69,0.345,0.829,1111,47,19,3.64,1.24,75,,6,21590,D4 - Mike Mussina,124738,27.5,42.0,44.5,31.0,37.5,39.0,29.0,22.5,19.0,75.0,41.0,42.5,1661.0,52.0
6,cancer_sticks,cancer_sticks,243,783,724,66,0.34,0.813,1376,97,60,4.2,1.27,62,,7,21590,D4 - Mike Mussina,124669,42.5,45.0,33.5,28.0,23.0,21.0,65.0,74.0,66.5,23.5,27.0,25.0,1671.5,49.0
7,Lords of Lumber,Clarkbar36,197,669,588,92,0.36,0.853,998,72,5,4.48,1.31,66,,8,21590,D4 - Mike Mussina,124706,12.0,16.0,5.0,65.0,79.0,66.5,15.0,47.5,8.0,7.0,9.5,28.0,1426.5,61.0
8,Ole,MatrixDream,250,774,743,73,0.35,0.87,792,5,31,4.8,1.35,56,,9,21590,D4 - Mike Mussina,124778,51.0,40.0,43.0,39.0,59.5,75.0,1.0,2.0,30.5,1.0,3.5,16.5,1328.0,69.0
9,Black Love Soul Food,ceashley32,183,695,661,84,0.346,0.812,1068,48,20,4.22,1.29,54,,10,21590,D4 - Mike Mussina,124731,6.0,21.0,19.0,55.0,41.0,19.5,20.0,24.0,21.0,21.0,16.0,12.0,1143.0,77.0
10,Stupid Betts,brhill5873,197,646,642,92,0.328,0.784,848,82,7,3.68,1.27,49,,11,21590,D4 - Mike Mussina,124715,12.0,9.0,13.0,65.0,4.5,6.0,4.0,63.0,11.0,71.5,27.0,5.0,1204.5,75.0
11,The Standing Waves,thejoelingdead,181,566,572,32,0.328,0.778,1138,42,50,4.1,1.29,68,,12,21590,D4 - Mike Mussina,124813,4.5,2.0,3.0,2.0,4.5,4.0,36.0,19.5,54.5,36.5,16.0,30.5,891.5,84.0
12,Franimal House,parkranger2000,285,864,864,99,0.363,0.889,1448,94,49,4.17,1.25,87,,1,21591,D4 - Mariano Rivera,124903,72.5,70.5,79.0,69.0,82.0,84.0,73.0,72.0,52.0,27.0,36.0,62.5,2695.5,8.0
13,wOBA Fett,Uncledonny,271,863,782,79,0.347,0.826,1714,98,53,3.53,1.11,108,,2,21591,D4 - Mariano Rivera,124710,63.5,69.0,56.5,48.0,45.0,35.5,84.0,75.5,59.0,80.0,81.5,80.5,2722.0,6.0
14,Van Buren Boys,VanBurenBoys_8,295,878,850,56,0.344,0.845,1400,96,69,3.66,1.11,75,,3,21591,D4 - Mariano Rivera,125068,79.0,74.5,76.0,17.0,32.5,59.0,69.0,73.0,71.0,73.0,81.5,42.5,2582.0,12.0
15,Sultans of Swing,marcram,271,850,798,84,0.349,0.821,1704,57,87,3.51,1.19,117,,4,21591,D4 - Mariano Rivera,125383,63.5,65.0,61.0,55.0,53.5,30.5,83.0,27.0,81.0,81.0,69.5,84.0,2669.0,9.0
16,The Good Boys,Thegoodboys59,255,793,790,75,0.36,0.876,1081,86,45,4.12,1.26,59,,5,21591,D4 - Mariano Rivera,125385,55.0,48.0,58.0,42.0,79.0,78.5,21.0,67.0,47.0,33.0,32.5,21.0,2035.5,27.0
17,Chazz city,wheredawhitewom,274,867,831,52,0.353,0.875,1100,38,19,4.16,1.31,71,,6,21591,D4 - Mariano Rivera,124650,65.0,73.0,70.5,12.0,66.5,77.0,27.0,16.5,19.0,29.5,9.5,35.0,1797.5,41.0
18,Vottomatic,KeeptheDH,211,668,650,94,0.337,0.809,1026,117,41,3.91,1.24,46,,7,21591,D4 - Mariano Rivera,125213,22.0,15.0,17.0,68.0,17.0,17.0,17.0,84.0,43.0,52.0,41.0,4.0,1501.0,56.0
19,Darebel10000,Darebel10000,181,662,643,86,0.321,0.755,1267,84,56,3.99,1.26,69,,8,21591,D4 - Mariano Rivera,124866,4.5,13.0,14.0,59.5,2.0,2.0,49.0,65.5,64.0,48.5,32.5,32.5,1442.5,59.0
20,uggla123,superplatypus57,222,804,675,66,0.342,0.797,1233,16,37,4.18,1.3,91,,9,21591,D4 - Mariano Rivera,125392,27.5,52.5,22.0,28.0,25.0,12.0,45.0,7.0,37.0,25.5,12.0,69.5,1332.5,67.0
21,"Rigs, Pipes & Lettuce",NufCed,188,570,638,73,0.334,0.814,1093,11,5,3.78,1.21,88,,10,21591,D4 - Mariano Rivera,124685,9.0,3.0,12.0,39.0,11.5,22.0,25.0,4.5,8.0,64.0,58.5,66.0,1309.0,71.0
22,War Pigs,gloriouswombat,231,594,647,51,0.348,0.838,1012,80,0,4.52,1.34,50,,11,21591,D4 - Mariano Rivera,125378,33.0,5.0,15.5,10.5,48.5,47.5,16.0,60.0,1.5,4.0,5.0,6.5,1082.5,81.0
23,Little Cowboys,YellowPerch,185,661,624,131,0.329,0.784,821,19,8,4.18,1.27,62,,12,21591,D4 - Mariano Rivera,124711,7.0,12.0,8.0,83.0,6.0,6.0,3.0,9.0,12.0,25.5,27.0,25.0,958.5,83.0
24,SonsofBichettes,Wisemansstaff,279,832,776,93,0.35,0.837,1478,79,60,3.62,1.15,83,,1,21592,D4 - Mark Buehrle,124697,69.0,58.5,52.0,67.0,59.5,45.5,77.0,58.0,66.5,76.0,77.0,57.5,2628.0,11.0
25,Dayzdnconfused,dayzdnconfused,267,878,884,76,0.352,0.849,1215,99,19,4.09,1.28,77,,2,21592,D4 - Mark Buehrle,124695,62.0,74.5,82.0,43.5,64.0,62.5,43.0,77.0,19.0,39.0,21.0,45.0,2216.0,21.0
26,Whirly Buehrles,eddardsnark31,275,812,759,49,0.344,0.812,1538,81,55,3.94,1.22,88,,3,21592,D4 - Mark Buehrle,124682,66.0,54.5,46.0,6.5,32.5,19.5,80.0,61.5,62.5,51.0,53.5,66.0,2083.5,26.0
27,The Hacksaw,DrJackBauer,245,730,730,81,0.347,0.841,1270,71,24,4.11,1.25,87,,4,21592,D4 - Mark Buehrle,124688,47.0,28.0,35.0,50.5,45.0,54.0,50.0,46.0,24.0,34.5,36.0,62.5,1838.5,40.0
28,The Muddbutts,jimtow28,289,897,860,109,0.334,0.825,1117,58,63,4.23,1.29,65,,5,21592,D4 - Mark Buehrle,124652,75.0,79.0,78.0,77.0,11.5,32.5,30.0,28.5,69.0,19.0,16.0,27.0,1917.0,34.0
29,The Vottoman Empire,KitchenTaco,235,783,681,63,0.347,0.818,1309,53,54,4.13,1.18,86,,6,21592,D4 - Mark Buehrle,124693,36.0,45.0,23.0,22.5,45.0,27.0,56.0,26.0,61.0,32.0,72.5,61.0,1772.5,44.0
30,Wharf Rats,srndsnd,243,728,739,49,0.365,0.88,1159,34,29,4.0,1.27,91,,6,21592,D4 - Mark Buehrle,124666,42.5,27.0,40.0,6.5,83.0,81.0,38.0,12.0,28.5,46.5,27.0,69.5,1787.5,42.0
31,tbinta,tbinta,244,795,773,114,0.337,0.819,1349,69,47,4.49,1.29,82,,8,21592,D4 - Mark Buehrle,124679,45.0,49.0,49.5,80.0,17.0,29.0,61.0,45.0,49.0,5.5,16.0,55.5,1754.0,46.0
32,Senatorialist,senatorialist,210,756,724,73,0.337,0.795,1285,76,50,3.75,1.2,73,,9,21592,D4 - Mark Buehrle,124698,21.0,33.0,33.5,39.0,17.0,11.0,53.0,54.0,54.5,68.5,64.0,37.5,1715.5,47.0
33,Lt. Frank Drebin,alekhine888,197,646,593,63,0.343,0.816,951,75,41,3.82,1.18,39,,10,21592,D4 - Mark Buehrle,124687,12.0,9.0,6.0,22.5,28.0,24.5,11.0,52.0,43.0,61.5,72.5,2.0,1372.0,64.0
34,Samuels Square Garden,jacobgomets,201,656,654,50,0.345,0.826,1169,37,27,4.09,1.26,74,,11,21592,D4 - Mark Buehrle,124665,16.5,11.0,18.0,8.5,37.5,35.5,39.0,14.5,26.0,39.0,32.5,40.0,1233.0,74.0
35,Keepin' it Realmuto,FletchTopper,205,629,634,61,0.35,0.866,918,59,1,4.23,1.33,76,,12,21592,D4 - Mark Buehrle,124691,18.5,7.0,10.5,20.5,59.5,74.0,9.0,31.5,3.5,19.0,6.0,44.0,1250.5,73.0
36,The Rosies,RoRosie,314,929,916,101,0.359,0.883,1276,74,96,3.71,1.23,78,,1,21593,D4 - Roger Clemens,124672,83.0,84.0,84.0,71.0,77.0,82.0,51.0,51.0,83.0,70.0,47.5,47.0,2876.5,3.0
37,Whiskey Jacks,Thunder_Boy,278,901,846,92,0.353,0.863,1134,89,40,4.1,1.27,69,,2,21593,D4 - Roger Clemens,124658,68.0,82.0,75.0,65.0,66.5,72.0,34.0,68.0,40.0,36.5,27.0,32.5,2309.0,20.0
38,Smoak 'Em If You Got 'Em,slaw47,257,833,799,85,0.332,0.81,1389,115,29,4.04,1.23,81,,3,21593,D4 - Roger Clemens,124664,56.0,60.0,62.0,57.5,8.0,18.0,68.0,83.0,28.5,44.0,47.5,53.0,2015.5,28.0
39,I Like Big Bats,fahey42,239,832,739,87,0.353,0.825,1246,64,108,3.86,1.21,74,,4,21593,D4 - Roger Clemens,124671,37.0,58.5,40.0,61.0,66.5,32.5,46.5,35.5,84.0,57.5,58.5,40.0,2194.0,23.0
40,Jobos Hobos,jobo1372,247,744,778,50,0.339,0.801,1299,108,36,3.76,1.17,79,,5,21593,D4 - Roger Clemens,124660,49.0,30.5,54.0,8.5,21.0,15.0,55.0,80.0,35.5,66.5,74.5,49.5,1882.5,38.0
41,Some Lady Named Baby Ruth,abrown26,234,744,699,71,0.356,0.84,949,38,34,3.59,1.06,56,,6,21593,D4 - Roger Clemens,124651,35.0,30.5,29.5,33.0,71.5,53.0,10.0,16.5,34.0,77.0,84.0,16.5,1766.0,45.0
42,Other People's Keepers,MrMet15,230,770,684,101,0.35,0.838,1290,67,31,4.43,1.28,67,,7,21593,D4 - Roger Clemens,124670,32.0,38.0,25.0,71.0,59.5,47.5,54.0,41.5,30.5,9.0,21.0,29.0,1668.5,50.0
43,Planet Express,PJFry,176,622,628,81,0.315,0.747,1343,51,32,3.84,1.22,93,,8,21593,D4 - Roger Clemens,124674,2.0,6.0,9.0,50.5,1.0,1.0,60.0,25.0,32.5,60.0,53.5,73.0,1449.5,57.0
44,Springfield Isotopes,enjoyingcarp650,244,752,712,65,0.343,0.827,1356,28,13,4.54,1.35,80,,9,21593,D4 - Roger Clemens,124667,45.0,32.0,31.0,26.0,28.0,38.0,64.0,11.0,15.0,3.0,3.5,51.0,1281.5,72.0
45,WillyMaysHays,willymayshays,253,727,742,64,0.344,0.839,818,42,77,4.24,1.3,30,,9,21593,D4 - Roger Clemens,124662,53.5,26.0,42.0,24.5,32.5,50.5,2.0,19.5,75.0,17.0,12.0,1.0,1371.5,65.0
46,LJ's Hoes,segoldma,219,765,781,61,0.349,0.842,872,45,6,4.31,1.25,52,,11,21593,D4 - Roger Clemens,124657,25.0,37.0,55.0,20.5,53.5,55.5,6.0,21.0,10.0,11.0,36.0,9.5,1328.5,68.0
47,Faith + 1,LeftCoastDrumer,158,581,528,73,0.331,0.775,1098,35,21,3.65,1.12,81,,12,21593,D4 - Roger Clemens,124678,1.0,4.0,2.0,39.0,7.0,3.0,26.0,13.0,22.0,74.0,80.0,53.0,1312.0,70.0
48,The Duda Abides,kennkerp,316,918,906,81,0.358,0.877,1439,73,47,3.87,1.2,99,,1,21594,D4 - Willie Mays,124690,84.0,83.0,83.0,50.5,75.5,80.0,71.0,49.5,49.0,55.0,64.0,76.0,2808.5,4.0
49,Never Have I Devers,camboss,259,886,867,113,0.349,0.843,1445,67,50,3.55,1.19,92,,2,21594,D4 - Willie Mays,124735,57.0,77.0,81.0,78.5,53.5,57.0,72.0,41.5,54.5,78.0,69.5,71.5,2717.5,7.0
50,Ponch,ponch101,296,899,866,77,0.361,0.887,1351,68,81,3.86,1.22,88,,3,21594,D4 - Willie Mays,124704,80.0,81.0,80.0,45.5,81.0,83.0,62.0,43.5,79.0,57.5,53.5,66.0,2790.5,5.0
51,Dock Ellis,eatinChips,249,865,793,85,0.36,0.85,1462,66,91,3.8,1.19,79,,4,21594,D4 - Willie Mays,124742,50.0,72.0,59.0,57.5,79.0,64.5,76.0,39.0,82.0,63.0,69.5,49.5,2648.0,10.0
52,God Hates Skaggs,mattcahill,287,857,813,53,0.344,0.85,1556,81,26,3.86,1.22,105,,5,21594,D4 - Willie Mays,124726,74.0,67.0,67.0,13.0,32.5,64.5,82.0,61.5,25.0,57.5,53.5,78.0,2389.5,17.0
53,Scherzer? I barely Cano her.,yaheardwperd,220,785,683,107,0.336,0.792,1377,73,78,3.89,1.24,95,,6,21594,D4 - Willie Mays,124654,26.0,47.0,24.0,75.0,14.5,10.0,66.0,49.5,76.0,54.0,41.0,75.0,1979.5,30.0
54,Madison Mallards,MBatistussi,266,758,751,72,0.336,0.816,1311,79,74,4.26,1.28,70,,7,21594,D4 - Willie Mays,124689,61.0,34.5,44.5,35.0,14.5,24.5,57.0,58.0,72.5,14.5,21.0,34.0,1692.0,48.0
55,Proxy Draft,Thesneak155,191,678,623,126,0.334,0.791,911,76,32,3.95,1.2,51,,8,21594,D4 - Willie Mays,125981,10.0,18.0,7.0,82.0,11.5,9.0,8.0,54.0,32.5,50.0,64.0,8.0,1374.5,63.0
56,Failure to Launch Angle,Take Over,215,772,696,86,0.349,0.833,863,65,9,4.07,1.32,60,,8,21594,D4 - Willie Mays,124681,23.0,39.0,28.0,59.5,53.5,40.0,5.0,37.0,13.0,41.0,7.5,22.0,1398.5,62.0
57,A+ for Effort,Take Over,253,731,768,30,0.344,0.839,971,7,40,4.71,1.37,57,,10,21594,D4 - Willie Mays,124767,53.5,29.0,47.5,1.0,32.5,50.5,14.0,3.0,40.0,2.0,1.0,18.5,1115.0,80.0
58,Shelby Miller Return Tour,Take Over,178,548,523,54,0.346,0.826,886,79,4,4.26,1.22,52,,11,21594,D4 - Willie Mays,124653,3.0,1.0,1.0,15.0,41.0,35.5,7.0,58.0,6.0,14.5,53.5,9.5,1118.5,79.0
59,God Squad,Take Over,200,664,685,72,0.339,0.8,960,19,23,4.16,1.24,50,,12,21594,D4 - Willie Mays,124721,15.0,14.0,26.0,35.0,21.0,14.0,12.0,9.0,23.0,29.5,41.0,6.5,1001.0,82.0
60,Wrigley Wrecking Crew,ThisIsOurYear,294,881,845,78,0.354,0.862,1453,84,74,3.54,1.19,84,,1,21595,D4 - Frank Robinson,124985,78.0,76.0,74.0,47.0,69.5,70.5,75.0,65.5,72.5,79.0,69.5,59.5,2893.0,2.0
61,puddy,studio54,284,812,824,108,0.342,0.857,1246,83,43,3.45,1.07,84,,2,21595,D4 - Frank Robinson,124709,70.5,54.5,68.0,76.0,25.0,68.0,46.5,64.0,46.0,83.0,83.0,59.5,2578.0,13.0
62,Color of Money,Zolak,284,853,839,73,0.342,0.834,1451,91,61,3.82,1.2,88,,3,21595,D4 - Frank Robinson,125096,70.5,66.0,72.0,39.0,25.0,41.5,74.0,70.0,68.0,61.5,64.0,66.0,2489.0,15.0
63,Byron Buxton Top 5,stranske,290,859,802,81,0.369,0.865,1140,111,41,4.11,1.24,55,,4,21595,D4 - Frank Robinson,124663,76.0,68.0,63.0,50.5,84.0,73.0,37.0,82.0,43.0,34.5,41.0,14.5,2319.0,19.0
64,Warlex,Warlex,233,813,776,70,0.351,0.844,1265,11,5,3.9,1.21,101,,5,21595,D4 - Frank Robinson,124716,34.0,56.0,52.0,32.0,62.5,58.0,48.0,4.5,8.0,53.0,58.5,77.0,1954.5,33.0
65,Chatt Mapman Superstars,theDICTATORguy,265,834,776,54,0.343,0.804,1189,76,75,4.16,1.23,58,,6,21595,D4 - Frank Robinson,124747,59.5,61.0,52.0,15.0,28.0,16.0,40.0,54.0,74.0,29.5,47.5,20.0,1777.5,43.0
66,Ral,RalJTK,263,803,773,118,0.323,0.784,1494,109,58,4.31,1.3,72,,7,21595,D4 - Frank Robinson,125373,58.0,51.0,49.5,81.0,3.0,6.0,78.0,81.0,65.0,11.0,12.0,36.0,1858.5,39.0
67,Password is Taco,Mr_Whitman,240,775,768,43,0.345,0.839,1102,37,51,4.0,1.23,78,,8,21595,D4 - Frank Robinson,125450,38.5,41.0,47.5,4.0,37.5,50.5,28.0,14.5,57.0,46.5,47.5,47.0,1663.0,51.0
68,Scrapple10,Scrapple10,226,725,721,134,0.349,0.849,961,66,0,4.29,1.28,68,,9,21595,D4 - Frank Robinson,125463,30.5,25.0,32.0,84.0,53.5,62.5,13.0,39.0,1.5,13.0,21.0,30.5,1569.5,53.0
69,Daddy's Little Girls,Pete_Grassi,223,779,733,47,0.347,0.837,1131,14,3,4.16,1.28,106,,10,21595,D4 - Frank Robinson,125420,29.0,43.0,36.0,5.0,45.0,45.5,33.0,6.0,5.0,29.5,21.0,79.0,1446.5,58.0
70,Chris Davis Support Group,sooners285,216,711,699,64,0.348,0.818,1195,58,67,4.31,1.29,54,,11,21595,D4 - Frank Robinson,124815,24.0,23.0,29.5,24.5,48.5,27.0,42.0,28.5,70.0,11.0,16.0,12.0,1355.0,66.0
71,Mad Max's Madness,Verarde,187,646,647,51,0.347,0.834,1085,60,40,4.23,1.27,57,,12,21595,D4 - Frank Robinson,124684,8.0,9.0,15.5,10.5,45.0,41.5,22.0,34.0,40.0,19.0,27.0,18.5,1195.0,76.0
72,Expos,MikeO13,285,864,807,103,0.344,0.839,1337,90,36,4.02,1.21,92,,1,21596,D4 - Mark Mulder,124729,72.5,70.5,65.0,73.0,32.5,50.5,59.0,69.0,35.5,45.0,58.5,71.5,2443.5,16.0
73,Dahl Me Maybe,theillusionist,265,898,810,77,0.345,0.848,1190,59,55,3.99,1.23,82,,2,21596,D4 - Mark Mulder,125419,59.5,80.0,66.0,45.5,37.5,61.0,41.0,31.5,62.5,48.5,47.5,55.5,2206.5,22.0
74,Fargo Frostbite,HuskerVol716,240,846,782,101,0.349,0.826,1535,64,53,4.21,1.32,109,,3,21596,D4 - Mark Mulder,124661,38.5,64.0,56.5,71.0,53.5,35.5,79.0,35.5,59.0,22.0,7.5,82.0,2165.0,24.0
75,Terlets and Boilers,HRsOnly,244,716,735,113,0.357,0.859,1136,59,47,3.76,1.2,61,,4,21596,D4 - Mark Mulder,125371,45.0,24.0,37.0,78.5,73.5,69.0,35.0,31.5,49.0,66.5,64.0,23.0,2100.0,25.0
76,Miggy Mouse Club,Squinto,292,804,804,39,0.356,0.876,1281,68,50,4.44,1.27,73,,5,21596,D4 - Mark Mulder,124683,77.0,52.5,64.0,3.0,71.5,78.5,52.0,43.5,54.5,8.0,27.0,37.5,1969.0,32.0
77,Manatee Stingers,jimgriddy,252,798,829,82,0.339,0.818,1413,103,11,4.09,1.24,81,,6,21596,D4 - Mark Mulder,125353,52.0,50.0,69.0,53.0,21.0,27.0,70.0,79.0,14.0,39.0,41.0,53.0,1997.5,29.0
78,MadBum Men,fert360,226,758,694,66,0.346,0.821,1379,59,17,3.33,1.15,108,,7,21596,D4 - Mark Mulder,124680,30.5,34.5,27.0,28.0,41.0,30.5,67.0,31.5,16.5,84.0,77.0,80.5,1974.0,31.0
79,Mozambiques,Porkchop120,241,783,738,88,0.353,0.846,1090,39,17,3.86,1.23,83,,8,21596,D4 - Mark Mulder,124686,40.0,45.0,38.0,62.0,66.5,60.0,24.0,18.0,16.5,57.5,47.5,57.5,1905.5,36.0
80,Greinke's Haunted Mansion,mcombs,209,675,665,54,0.349,0.815,1060,93,53,4.05,1.2,40,,9,21596,D4 - Mark Mulder,124777,20.0,17.0,20.5,15.0,53.5,23.0,19.0,71.0,59.0,43.0,64.0,3.0,1511.0,55.0
81,Fleer Ultra,MeesterHat,205,685,578,72,0.358,0.862,1050,72,39,4.2,1.26,55,,10,21596,D4 - Mark Mulder,124826,18.5,19.0,4.0,35.0,75.5,70.5,18.0,47.5,38.0,23.5,32.5,14.5,1526.5,54.0
82,Himalaya Playas,zigzagmaru,242,845,831,84,0.333,0.799,1225,47,28,4.49,1.36,78,,10,21596,D4 - Mark Mulder,124675,41.0,63.0,70.5,55.0,9.0,13.0,44.0,22.5,27.0,5.5,2.0,47.0,1435.5,60.0
83,Chad Hippos,Sir-tomba,198,704,665,57,0.334,0.789,1122,1,42,4.25,1.24,88,,12,21596,D4 - Mark Mulder,124677,14.0,22.0,20.5,18.0,11.5,8.0,31.0,1.0,45.0,16.0,41.0,66.0,1131.0,78.0
